utc,rss_kib,live,ready,frames,dispatched,dropped,overflows,live_sessions
2026-07-22T16:33:42Z,8464,200,200,2,3,0,0,1
2026-07-22T16:34:12Z,8464,200,200,2,3,0,0,1
2026-07-22T16:34:42Z,8448,200,200,2,3,0,0,1
2026-07-22T16:35:12Z,8480,200,200,2,3,0,0,1
2026-07-22T16:35:42Z,8480,200,200,2,3,0,0,1
2026-07-22T16:36:12Z,8480,200,200,2,3,0,0,1
2026-07-22T16:36:42Z,8480,200,200,2,3,0,0,1
2026-07-22T16:37:12Z,8480,200,200,2,3,0,0,1
2026-07-22T16:37:42Z,8480,200,200,2,3,0,0,1
2026-07-22T16:38:12Z,8480,200,200,2,3,0,0,1
2026-07-22T16:38:42Z,8416,200,200,2,3,0,0,1
2026-07-22T16:39:12Z,8416,200,200,2,3,0,0,1
2026-07-22T16:39:42Z,8448,200,200,2,3,0,0,1
2026-07-22T16:40:12Z,8448,200,200,2,3,0,0,1
2026-07-22T16:40:42Z,8448,200,200,2,3,0,0,1
